time,data_values
2010-01-04,214.009998
2010-01-05,214.379993
2010-01-06,210.969995
2010-01-07,210.580000
2010-01-08,211.980005
2010-01-11,210.110003
2010-01-12,207.720001
2010-01-13,210.650002
2010-01-14,209.430000
2010-01-15,205.930000
2010-01-19,215.039995
2010-01-20,211.730000
2010-01-21,208.069996
2010-01-22,197.750000
2010-01-25,203.070002
2010-01-26,205.940001
2010-01-27,207.880005
2010-01-28,199.289995
2010-01-29,192.060003
2010-02-01,194.729998
2010-02-02,195.859997
2010-02-03,199.229994
2010-02-04,192.050003
2010-02-05,195.460001
2010-02-08,194.119997
2010-02-09,196.190004
2010-02-10,195.120007
2010-02-11,198.669994
2010-02-12,200.379993
2010-02-16,203.399996
2010-02-17,202.550003
2010-02-18,202.929998
2010-02-19,201.669996
2010-02-22,200.419994
2010-02-23,197.059998
2010-02-24,200.660000
2010-02-25,202.000004
2010-02-26,204.619997
2010-03-01,208.990004
2010-03-02,208.850000
2010-03-03,209.329998
2010-03-04,210.710003
2010-03-05,218.950005
2010-03-08,219.079994
2010-03-09,223.020004
2010-03-10,224.839993
2010-03-11,225.500008
2010-03-12,226.600006
2010-03-15,223.839996
2010-03-16,224.449997
2010-03-17,224.120003
2010-03-18,224.650002
2010-03-19,222.250000
2010-03-22,224.750004
2010-03-23,228.359993
2010-03-24,229.370003
2010-03-25,226.649994
2010-03-26,230.899998
2010-03-29,232.389992
2010-03-30,235.849991
2010-03-31,235.000011
2010-04-01,235.969994
2010-04-05,238.489998
2010-04-06,239.540009
2010-04-07,240.600006
2010-04-08,239.950005
2010-04-09,241.789993
2010-04-12,242.290005
2010-04-13,242.430008
2010-04-14,245.690002
2010-04-15,248.920010
2010-04-16,247.400002
2010-04-19,247.070007
2010-04-20,244.590004
2010-04-21,259.220005
2010-04-22,266.469997
2010-04-23,270.829990
2010-04-26,269.500000
2010-04-27,262.039989
2010-04-28,261.600006
2010-04-29,268.640007
2010-04-30,261.090008
2010-05-03,266.349995
2010-05-04,258.679993
2010-05-05,255.989998
2010-05-06,246.249989
2010-05-07,235.860004
2010-05-10,253.990005
2010-05-11,256.519997
2010-05-12,262.090004
2010-05-13,258.360012
2010-05-14,253.819988
2010-05-17,254.219997
2010-05-18,252.360008
2010-05-19,248.339996
2010-05-20,237.759995
2010-05-21,242.319992
2010-05-24,246.759987
2010-05-25,245.220005
2010-05-26,244.109993
2010-05-27,253.349991
2010-05-28,256.880005
2010-06-01,260.830002
2010-06-02,263.949993
2010-06-03,263.119987
2010-06-04,255.960011
2010-06-07,250.940002
2010-06-08,249.330006
2010-06-09,243.200012
2010-06-10,250.510006
2010-06-11,253.509995
2010-06-14,254.279999
2010-06-15,259.690002
2010-06-16,267.249989
2010-06-17,271.869987
2010-06-18,274.070011
2010-06-21,270.170002
2010-06-22,273.850006
2010-06-23,270.969994
2010-06-24,268.999989
2010-06-25,266.699989
2010-06-28,268.299999
2010-06-29,256.170002
2010-06-30,251.530003
2010-07-01,248.480000
2010-07-02,246.939991
2010-07-06,248.629990
2010-07-07,258.670006
2010-07-08,258.089993
2010-07-09,259.619987
2010-07-12,257.290001
2010-07-13,251.799995
2010-07-14,252.730003
2010-07-15,251.450001
2010-07-16,249.900005
2010-07-19,245.580013
2010-07-20,251.890011
2010-07-21,254.239998
2010-07-22,259.020000
2010-07-23,259.939995
2010-07-26,259.280006
2010-07-27,264.080009
2010-07-28,260.959991
2010-07-29,258.109993
2010-07-30,257.250000
2010-08-02,261.849998
2010-08-03,261.930000
2010-08-04,262.980011
2010-08-05,261.700008
2010-08-06,260.090012
2010-08-09,261.749996
2010-08-10,259.409996
2010-08-11,250.189999
2010-08-12,251.790009
2010-08-13,249.099987
2010-08-16,247.640007
2010-08-17,251.970013
2010-08-18,253.070011
2010-08-19,249.880005
2010-08-20,249.639999
2010-08-23,245.799992
2010-08-24,239.930004
2010-08-25,242.889992
2010-08-26,240.279999
2010-08-27,241.620003
2010-08-30,242.499996
2010-08-31,243.100010
2010-09-01,250.330002
2010-09-02,252.169991
2010-09-03,258.770008
2010-09-07,257.810013
2010-09-08,262.920010
2010-09-09,263.070000
2010-09-10,263.410007
2010-09-13,267.039997
2010-09-14,268.059994
2010-09-15,270.219990
2010-09-16,276.569988
2010-09-17,275.369987
2010-09-20,283.230007
2010-09-21,283.769993
2010-09-22,287.750004
2010-09-23,288.919991
2010-09-24,292.319988
2010-09-27,291.159988
2010-09-28,286.859997
2010-09-29,287.369995
2010-09-30,283.749992
2010-10-01,282.520004
2010-10-04,278.639996
2010-10-05,288.939991
2010-10-06,289.190010
2010-10-07,289.219997
2010-10-08,294.069988
2010-10-11,295.360004
2010-10-12,298.539997
2010-10-13,300.140007
2010-10-14,302.309990
2010-10-15,314.739994
2010-10-18,317.999989
2010-10-19,309.489994
2010-10-20,310.529991
2010-10-21,309.520008
2010-10-22,307.470001
2010-10-25,308.839993
2010-10-26,308.049988
2010-10-27,307.830009
2010-10-28,305.239990
2010-10-29,300.980000
2010-11-01,304.179993
2010-11-02,309.360004
2010-11-03,312.800003
2010-11-04,318.270008
2010-11-05,317.130009
2010-11-08,318.620003
2010-11-09,316.079998
2010-11-10,318.030003
2010-11-11,316.649998
2010-11-12,308.029987
2010-11-15,307.040005
2010-11-16,301.590000
2010-11-17,300.499989
2010-11-18,308.429996
2010-11-19,306.730011
2010-11-22,313.359989
2010-11-23,308.730003
2010-11-24,314.799995
2010-11-26,315.000000
2010-11-29,316.870003
2010-11-30,311.150005
2010-12-01,316.400005
2010-12-02,318.150005
2010-12-03,317.440002
2010-12-06,320.149998
2010-12-07,318.210007
2010-12-08,321.009991
2010-12-09,319.760002
2010-12-10,320.559994
2010-12-13,321.670006
2010-12-14,320.290001
